Age,Gender,Education,Person Income,Employee Experience,Home Onwership,Loan Amount,Loan Intent,Loan interest Rate,Loan percentage,Credit History,Credit Score,Previous Loan,Loan Status
22,0,4,71948,0,3,35000,4,16.02,0.49,3,561,0,1
21,0,3,12282,0,2,1000,1,11.14,0.08,2,504,1,0
25,0,3,12438,3,0,5500,3,12.87,0.44,3,635,0,1
23,0,1,79753,0,3,35000,3,15.23,0.44,2,675,0,1
24,1,4,66135,1,3,35000,3,14.27,0.53,4,586,0,1
21,0,3,12951,0,2,2500,5,7.14,0.19,2,532,0,1
26,0,1,93471,1,3,35000,1,12.42,0.37,3,701,0,1
24,0,3,95550,5,3,35000,3,11.11,0.37,4,585,0,1
24,0,0,100684,3,3,35000,4,8.9,0.35,2,544,0,1
21,0,3,12739,0,2,1600,5,14.74,0.13,3,640,0,1
22,0,3,102985,0,3,35000,5,10.37,0.34,4,621,0,1
21,0,0,13113,0,2,4500,2,8.63,0.34,2,651,0,1
23,1,1,114860,3,3,35000,5,7.9,0.3,2,573,0,1
26,1,4,130713,0,3,35000,1,18.39,0.27,4,708,0,1
23,0,0,138998,0,3,35000,1,7.9,0.25,4,583,0,0
23,0,4,600891,5,0,30000,0,10.65,0.05,3,670,1,0
23,1,1,144943,0,3,35000,1,7.9,0.24,4,663,0,0
23,0,3,111369,0,3,35000,3,20.0,0.31,4,694,0,1
23,1,1,136628,0,3,35000,0,18.25,0.26,4,709,0,1
24,0,4,14283,1,0,1750,1,10.99,0.12,2,679,0,1
25,1,1,195718,0,3,35000,5,7.49,0.18,4,684,1,0
25,1,3,165792,4,3,34800,4,16.77,0.21,2,662,0,0
22,0,4,79255,0,3,34000,1,17.58,0.43,4,691,0,1
24,0,1,13866,0,2,1500,4,7.29,0.11,3,600,1,0
22,1,1,97420,1,3,33950,4,14.54,0.35,4,691,0,1
24,0,3,82443,0,3,33000,2,12.68,0.4,3,654,0,1
21,0,0,14288,0,0,4575,5,17.74,0.32,3,626,0,1
23,1,3,14293,0,2,1400,4,9.32,0.1,3,607,0,0
24,0,1,79054,1,3,32500,2,9.99,0.41,3,700,0,1
21,0,1,14988,0,1,4000,1,12.84,0.27,2,553,0,1
21,1,3,14858,0,2,2000,3,11.12,0.13,3,589,0,1
25,1,1,144855,1,3,32000,5,6.62,0.22,2,586,1,0
26,1,1,114645,2,3,31050,2,14.17,0.27,3,681,0,1
25,0,3,368115,3,3,24250,0,13.85,0.07,3,567,1,0
26,0,0,361076,1,0,7800,3,13.49,0.02,4,669,0,0
21,1,0,15150,0,2,2500,1,7.51,0.17,4,600,0,1
22,0,1,58868,0,3,30000,1,18.39,0.51,2,606,0,1
24,1,3,78026,3,3,30000,0,14.54,0.38,3,582,0,1
25,1,1,90785,4,3,30000,2,16.89,0.33,4,649,0,1
23,0,3,86811,0,3,30000,0,11.01,0.35,4,602,0,1
26,1,1,75503,5,3,30000,3,17.99,0.4,2,616,0,1
24,0,3,15082,0,2,2500,5,12.69,0.17,3,631,0,1
26,1,1,361293,5,0,20000,5,7.88,0.06,4,684,1,0
23,1,3,361547,0,2,24250,1,19.41,0.07,2,637,1,0
26,1,4,360680,5,2,10000,2,10.38,0.03,4,649,0,0
26,1,1,360977,5,0,25000,1,15.33,0.07,3,695,1,0
25,0,1,361244,2,0,18000,2,16.45,0.05,3,620,0,0
26,1,1,98230,2,3,30000,4,7.49,0.31,3,622,0,1
22,0,3,80838,0,3,30000,3,12.69,0.37,3,645,0,1
26,1,4,107957,2,3,30000,0,6.62,0.28,3,654,0,1
24,0,1,94649,2,3,30000,0,11.01,0.32,4,624,0,1
23,1,3,94550,1,3,30000,0,18.62,0.32,3,570,0,1
23,1,1,111153,3,3,30000,4,15.23,0.27,3,648,0,1
23,0,0,117250,0,3,30000,5,10.65,0.26,2,652,0,1
25,1,1,144985,3,3,30000,1,7.9,0.21,4,559,0,0
26,1,3,337133,7,3,10000,4,15.96,0.03,3,623,1,0
26,1,0,333566,2,3,20000,5,11.48,0.06,3,602,1,0
23,1,1,333399,1,2,35000,4,11.01,0.1,4,609,0,0
25,1,4,154793,1,3,30000,4,7.29,0.19,4,573,1,0
24,1,0,15229,1,2,1750,5,11.01,0.11,3,631,1,0
